dataset,video_id,conversation_id,level,level_label,n_utterances,expert_utterance_proportion,pr_naive,pr_row_corrected,pr_both_corrected,mean_sdi,median_sdi,directional_innovation_mean,directional_persistence_mean,sustained_direction_precision,sustained_direction_variation,n_sdi_events,total_sdi_weight,mean_sdi_expert,mean_sdi_partner,match_id
wired,memory,wired_memory_14,2,undergraduate,49,0.7755102040816326,23.125436918578103,47.270192148213226,54.37097711122943,0.35456290325322376,0.29342065816950913,0.799250981647635,0.43664587067286326,0.14287942504695197,0.857120574953048,5.0,1.7728145162661189,0.31845038854378477,0.4087316753173823,wired::memory
wired,memory,wired_memory_15,3,graduate,43,0.6046511627906976,23.88865045541422,55.967343935597796,66.21087868255717,0.323283338499367,0.31826514588689797,0.8516418989099789,0.3835518426996987,0.08990015670970168,0.9100998432902984,7.0,2.262983369495569,0.35626369082933734,0.2793095353927399,wired::memory
wired,memory,wired_memory_16,4,expert,81,0.4691358024691358,32.88845050014793,56.158031121913574,66.47323404331486,0.3522034996271829,0.3656804336668393,0.8414611907849594,0.440878227282483,0.08517240232935584,0.9148275976706441,10.0,3.5220349962718287,0.3442910378066478,0.36011596144771796,wired::memory
wired,moravec,wired_moravec_12,0,child,50,0.68,17.27482486057536,26.384548802776155,28.45810385629039,0.45559917422265384,0.4064001553055731,1.022035455625635,0.4430638522168745,0.09553772528297957,0.9044622747170205,21.0,9.56758265867573,0.5405864180541052,0.3621132060080573,wired::moravec
wired,moravec,wired_moravec_13,1,teenager,58,0.7413793103448276,20.524108909059244,31.965658750519747,35.04017040885982,0.43003431418925614,0.4104793595002102,1.0035221286021154,0.42244439617000146,0.09789502346356278,0.9021049765364372,20.0,8.600686283785123,0.4324968319534401,0.42757179642507215,wired::moravec
wired,moravec,wired_moravec_14,2,undergraduate,49,0.6938775510204082,20.46982176594276,35.98218828701337,39.97487700273641,0.4166449847574642,0.36939818558961734,0.9405951090964078,0.45076833399854493,0.06743449299272664,0.9325655070072734,11.0,4.583094832332106,0.46977076558608094,0.35289404776312383,wired::moravec
wired,moravec,wired_moravec_15,3,graduate,37,0.4594594594594595,19.178603119249594,41.46139773696598,46.83015514916437,0.425137018340466,0.40598117902079967,1.0151853604836736,0.42350113917746535,0.08296051449393067,0.9170394855060693,10.0,4.25137018340466,0.3745514559010129,0.47572258077991914,wired::moravec
wired,moravec,wired_moravec_16,4,expert,53,0.3584905660377358,29.486749640755587,68.57721359464117,84.49739830467422,0.3959052355572981,0.44306628044964635,0.8981471515909029,0.44436964027430426,0.07977237444959748,0.9202276255504025,5.0,1.9795261777864905,0.3575979093766839,0.45336622482821937,wired::moravec
wired,nano,wired_nano_12,0,child,58,0.7758620689655172,23.655212336060586,40.13753004322974,45.18224781571064,0.470921607434475,0.43990427308455815,1.0132866394401752,0.46551384892201225,0.0884997028094622,0.9115002971905378,14.0,6.59290250408265,0.5419650235131723,0.3998781913557776,wired::nano
wired,nano,wired_nano_13,1,teenager,61,0.7704918032786885,24.656428627598224,41.7082835436402,47.044381692640364,0.5017912333287796,0.442733390368708,1.0368589509836388,0.4890416115922643,0.0815754241164603,0.9184245758835397,13.0,6.523286033274135,0.5654166090236925,0.4275616283513812,wired::nano
wired,nano,wired_nano_14,2,undergraduate,86,0.627906976744186,29.74473606145901,45.77486311083746,52.341535286998095,0.42254133077693623,0.3704311779979861,1.0352422737626972,0.4128142921275287,0.08846698493144081,0.9115330150685592,16.0,6.76066129243098,0.4510750222058464,0.3940076393480261,wired::nano
wired,nano,wired_nano_15,3,graduate,34,0.5294117647058824,16.581337282685542,34.760613227920004,38.447990668438,0.20326181929813203,0.20326181929813203,0.8057717297942827,0.2522573227408037,0.16038974956760144,0.8396102504323986,1.0,0.20326181929813203,0.20326181929813203,,wired::nano
wired,nano,wired_nano_16,4,expert,83,0.27710843373493976,31.813985460533885,51.99219342619976,60.61948346423229,0.2639913655346812,0.28051994390392865,0.8388336826231203,0.29789073977901087,0.0980274139263674,0.9019725860736326,7.0,1.8479395587427687,0.2786772816002346,0.24441014411394338,wired::nano
wired,nuclear,wired_nuclear_12,0,child,73,0.726027397260274,25.73950450589272,39.75201903614731,44.63213303997319,0.3631405959067916,0.3669195938879273,0.8891139881491372,0.44839371625300095,0.10029472638733017,0.8997052736126698,23.0,8.352233705856207,0.35953969947312747,0.36706884656169797,wired::nuclear
