dataset,video_id,conversation_id,level,level_label,episode_id,turn_order,speaker_role,innovation_magnitude,directional_innovation_magnitude,directional_innovation_fraction,directional_persistence,within_episode_sdi
wired,astro,wired_astro_14,2,undergraduate,0,9,expert,0.7220067936696475,0.7063186380443858,0.9782714570502808,0.7527552999030339,0.5316850982082041
wired,astro,wired_astro_14,2,undergraduate,0,10,partner,0.7808591450319521,0.7708194873843505,0.9871428058280883,0.3780254575102475,0.29138938937628356
wired,astro,wired_astro_14,2,undergraduate,0,11,expert,0.6017726276015956,0.5937087395700568,0.9865997759574666,0.29067918823855643,0.17257877446836062
wired,astro,wired_astro_14,2,undergraduate,0,12,partner,0.9503621653577714,0.9175213782463447,0.9654439241065232,0.3266175584577931,0.2996785923956504
wired,astro,wired_astro_14,2,undergraduate,0,13,expert,0.7468739531738956,0.7213425266001324,0.9658156152504297,0.3004603590187257,0.21673483451775047
wired,astro,wired_astro_14,2,undergraduate,0,14,partner,0.628061259822145,0.6209980459770891,0.9887539412189746,0.45235905343085636,0.28091408826060743
wired,astro,wired_astro_15,3,graduate,0,4,partner,1.272809882917255,1.2648745597864832,0.9937655079220645,0.4058276429739227,0.5133210612558265
wired,astro,wired_astro_15,3,graduate,0,5,expert,1.033682188918731,0.9964653582827071,0.9639958673604329,0.4706434767230239,0.46897992065622696
wired,astro,wired_astro_15,3,graduate,0,6,partner,0.8884588110192875,0.8641417595408496,0.9726300744865002,0.7032033761770868,0.6076674028047337
wired,astro,wired_astro_15,3,graduate,0,7,expert,0.909628402606841,0.9090381747893694,0.9993511330376456,0.59193684544187,0.5380931895710546
wired,astro,wired_astro_15,3,graduate,0,8,partner,0.9740739138190144,0.9543570043302727,0.9797583025168818,0.21090147940153028,0.20127530409046715
wired,astro,wired_astro_15,3,graduate,0,9,expert,0.7885983470704018,0.7531052500330999,0.9549921741909406,0.47375079253366964,0.3567842090644485
wired,astro,wired_astro_15,3,graduate,1,16,partner,1.0727189853064574,1.059248576403507,0.9874427421454746,0.4656901896695077,0.49328167045250515
wired,astro,wired_astro_15,3,graduate,1,17,expert,1.0565192222471622,1.0137395854203095,0.9595088892591824,0.14542710261953226,0.14742521071840145
wired,astro,wired_astro_15,3,graduate,1,18,partner,0.9902627389882149,0.9514399513130204,0.960795467558618,0.7079762317454212,0.6735968714626392
wired,astro,wired_astro_15,3,graduate,1,19,expert,1.0025212436519377,0.9544501477898585,0.9520497982786676,0.5133716669908492,0.48998766343054206
wired,astro,wired_astro_15,3,graduate,1,20,partner,1.0398843573982022,1.0263441137622689,0.986979087106572,0.36010877927890755,0.3695955259270229
wired,astro,wired_astro_15,3,graduate,1,21,expert,1.021104227236806,1.0019549034839776,0.9812464553147239,0.41097143441397854,0.41177484390292973
wired,astro,wired_astro_15,3,graduate,1,22,partner,0.9049185705069337,0.898571562518705,0.9929861004115916,0.39064725506304676,0.351024514375645
wired,astro,wired_astro_15,3,graduate,1,23,expert,0.9842841467198667,0.9673566587109208,0.9828022344296211,0.638735901446728,0.6178854274222148
wired,astro,wired_astro_15,3,graduate,1,24,partner,0.9478981202290351,0.9339891722617406,0.9853265370281364,0.48426086277614616,0.45229440238304913
wired,astro,wired_astro_15,3,graduate,1,25,expert,1.06632216770017,1.027756519760879,0.9638330242881166,0.44215152125596546,0.4544241086930093
wired,astro,wired_astro_15,3,graduate,1,26,partner,1.218320566223524,1.2132913517105797,0.9958720104926657,0.1892047258137443,0.22956045753258744
wired,astro,wired_astro_16,4,expert,0,4,expert,0.9000335200814662,0.8929409071783817,0.9921196124968383,0.5054739399465757,0.4513583584909262
wired,astro,wired_astro_16,4,expert,0,5,partner,0.9117086620144841,0.8740763219748768,0.958723283425415,0.34699008148493987,0.30329581418611906
wired,astro,wired_astro_16,4,expert,0,6,expert,0.7586951478393654,0.7545859842049464,0.9945839067942956,0.29678850120303985,0.22395244328100675
wired,astro,wired_astro_16,4,expert,0,7,partner,0.8364041015589235,0.8268826393330829,0.9886161937643745,0.1966104089699869,0.16257373388945962
wired,astro,wired_astro_16,4,expert,0,8,expert,0.8350746805026087,0.8138670921047002,0.9746039619041991,0.5109507161594564,0.41584597356951086
wired,astro,wired_astro_16,4,expert,0,9,partner,0.8689067245672051,0.8094474106619368,0.9315699692210162,0.3117630697272207,0.2523558095307156
wired,astro,wired_astro_16,4,expert,0,10,expert,0.8748047760969222,0.8693436274000133,0.9937572943734162,0.2412261633946156,0.20970842790926342
wired,astro,wired_astro_16,4,expert,0,11,partner,0.7362854929842865,0.7151008516282539,0.9712276806227175,0.7195363111981221,0.5145410289152295
wired,blockchain,wired_blockchain_12,0,child,0,4,expert,0.976796455634156,0.8959471403181894,0.9172301303403126,0.5275528368953993,0.4726594555831813
wired,blockchain,wired_blockchain_12,0,child,0,5,partner,1.0619029831686522,1.0322585543185236,0.9720836749486816,0.4629759437015458,0.4779108783296119
wired,blockchain,wired_blockchain_12,0,child,0,6,expert,0.9444647201196437,0.9298575563042069,0.9845339232845343,0.24936305662667718,0.2318721224674296
wired,blockchain,wired_blockchain_13,1,teenager,0,4,expert,0.956934204812939,0.9460067448283014,0.9885807614246976,0.38547704393158755,0.36466388353575724
wired,blockchain,wired_blockchain_13,1,teenager,0,5,partner,1.1875253380302007,1.1806802967171692,0.9942358776736673,0.34941570265023103,0.41254823548271297
