dataset,video_id,conversation_id,level,level_label,turn_order,speaker_role,innovation_magnitude,directional_innovation_magnitude,directional_innovation_fraction,directional_persistence,sdi,sustained_direction_variation,sustained_direction_precision
wired,memory,wired_memory_15,3,graduate,4,expert,0.9546805398471644,0.8757449376448881,0.9173172606871923,0.44792576956842783,0.39226872514024136,0.9387015515580672,0.061298448441932774
wired,memory,wired_memory_15,3,graduate,5,partner,0.8894541964906323,0.8770172924237284,0.9860173754680567,0.39054560769004826,0.3425152514243058,0.8610713597374272,0.1389286402625728
wired,memory,wired_memory_15,3,graduate,6,expert,0.9612208950045495,0.9080841515613828,0.9447195293815789,0.34396241466563077,0.31234681749064386,0.9118752370664626,0.08812476293353744
wired,memory,wired_memory_15,3,graduate,7,partner,0.9190085189123175,0.9049461548453147,0.9846983311051014,0.2112362844360927,0.19115746336425327,0.8537542115242873,0.14624578847571268
wired,memory,wired_memory_15,3,graduate,8,expert,0.7801399608093583,0.7151770914293673,0.9167292118794788,0.44501585649339925,0.31826514588689797,0.9472541622279502,0.052745837772049775
wired,memory,wired_memory_15,3,graduate,9,partner,0.8755912679281986,0.8712615830404222,0.9950551301190838,0.3492130231748606,0.3042558913896607,0.9127083817083672,0.08729161829163279
wired,memory,wired_memory_15,3,graduate,10,expert,0.8138788688073616,0.8092620814247479,0.9943274268929314,0.49696394286943213,0.40217407479956613,0.9179850090838648,0.08201499091613518
wired,memory,wired_memory_16,4,expert,4,expert,0.9410762847571188,0.9111432556785799,0.9681927708047255,0.40793723733680587,0.37168926253958284,0.8564578363018046,0.1435421636981954
wired,memory,wired_memory_16,4,expert,5,partner,0.9533345751794587,0.9466808098139856,0.9930205349310722,0.45139946702536143,0.4273312129931707,0.9140566137496564,0.08594338625034359
wired,memory,wired_memory_16,4,expert,6,expert,0.9599910559319738,0.9455915788301285,0.9850004049372616,0.3792342255458354,0.35860069008030754,0.8956464154562085,0.10435358454379151
wired,memory,wired_memory_16,4,expert,7,partner,0.6611981294500204,0.6527211211367302,0.9871793219963757,0.5996549120094119,0.3914074264619306,0.9791962313424115,0.020803768657588484
wired,memory,wired_memory_16,4,expert,8,expert,0.8850320932319036,0.878927635646111,0.9931025579372,0.38564883816553724,0.33895742151850533,0.8790870714955435,0.12091292850445645
wired,memory,wired_memory_16,4,expert,9,partner,0.7988222541734014,0.7918206674800407,0.991235113120882,0.4738217230977376,0.3751818330497936,0.9348304320894751,0.06516956791052486
wired,memory,wired_memory_16,4,expert,10,expert,0.6537474823030229,0.6156882709224754,0.9417830088654197,0.46344718113345423,0.28533899361595166,0.9717736301990009,0.02822636980099913
wired,memory,wired_memory_16,4,expert,11,partner,0.7926545141687534,0.7774044773473651,0.9807608024053687,0.46885766248542193,0.36449204605478674,0.9684596243583783,0.03154037564162171
wired,memory,wired_memory_16,4,expert,12,expert,0.6548113625010821,0.6236689014538639,0.9524405610048968,0.5882429289382021,0.3668688212788918,0.9506882842074424,0.04931171579255755
wired,memory,wired_memory_16,4,expert,13,partner,1.272199812725022,1.2709651895403127,0.9990295367336488,0.19053809708706176,0.24216728867890797,0.7470311158155672,0.25296888418443275
wired,moravec,wired_moravec_12,0,child,4,expert,1.2655400456483747,1.260974709083361,0.9963925783449458,0.8128920857238751,1.0250363613118298,0.9002095637990247,0.09979043620097527
wired,moravec,wired_moravec_12,0,child,5,partner,1.2315057680524224,1.161816692654416,0.9434114908701074,0.41797509382395925,0.48561044111847157,0.9038054256053923,0.09619457439460766
wired,moravec,wired_moravec_12,0,child,6,expert,1.0018006573945348,0.957880032663179,0.9561583191145632,0.6190543538820668,0.5929798047168373,0.8845584491498163,0.1154415508501837
wired,moravec,wired_moravec_12,0,child,7,partner,1.140784945295657,1.0944461167076407,0.9593798736737656,0.41079521136667385,0.4495932238423507,0.8924601895722711,0.10753981042772887
wired,moravec,wired_moravec_12,0,child,8,expert,1.1065180988059875,1.0876872246503573,0.9829818652067841,0.4911414314457492,0.5342082604800307,0.9277020942734995,0.07229790572650052
wired,moravec,wired_moravec_12,0,child,9,partner,1.1282849960995174,1.116851919276364,0.9898668537969861,0.24426567484417072,0.27280858776304834,0.8481246503900431,0.15187534960995686
wired,moravec,wired_moravec_12,0,child,10,expert,0.8209361214586979,0.7068694525340751,0.8610529297665669,0.5611095359733452,0.39663119050512746,0.9751808236337159,0.024819176366284057
wired,moravec,wired_moravec_12,0,child,11,partner,1.0858392047985894,1.0341884352257946,0.9524323957493063,0.35657034689434913,0.36876092910258573,0.8696246358047566,0.13037536419524343
wired,moravec,wired_moravec_12,0,child,12,expert,0.9396482400721242,0.8926669741731537,0.9500012197156732,0.45526514037556665,0.4064001553055731,0.9327041965013778,0.06729580349862219
