type,comment_id,parent_id,author,text,likes,published_at
top,UgyGcztLR7sreEnxYrx4AaABAg,,@lilyballou4808,"wasn’t she like valedictorian and fluent in russian in highschool…. doubt she’s that dumb, just ignorant",0,1762646400
top,Ugx0U5qPfa4tQqqM9W94AaABAg,,@Samantha-dv4je,She knows what she’s doing. She’s doing play pretend stupid.,0,1762646400
top,UgwOW0hhwE74FY2O4xh4AaABAg,,@runespar,tbf that interviewer has gotta be one of the most irritating people on the planet,0,1762646400
top,Ugz3nut-RXePgBDJ2Dp4AaABAg,,@inf3rnalis804,My theory is she’s being Brittney’d,0,1762646400
top,UgxMwtuNL31dUODPXNh4AaABAg,,@iopohable,ppl bein pretty does not mean they are not inteligent. we dont live in a 1985 movie.,0,1762646400
top,Ugwo81yvFmbrhZE7EcB4AaABAg,,@ShadowFiles,"Recessive genes are not superior, she should open up a book, and deff apologize, she's not that old and already looks like Hillary Clinton.",0,1762646400
top,Ugwv7PTJqMbdieRpn3d4AaABAg,,@iopohable,"nazism does not go far without women to reinforce it, just like toxic masculinity.
because men will do most things they do in life to get attention from women.",0,1762646400
top,UgwcfKrBXmMJUPk8Dvt4AaABAg,,@KaryluzPalacioVega,"She is clearly not stupid, anybody who thinks she is, it very innocent. I bet anything she is just a grifter, If the left was in the rise, she would present herself as left aligned.",0,1762646400
top,UgwXYf1EpbEfDeIv_LR4AaABAg,,@marysjane3732,5:00 I think that'd be the normal thing for a racist with media training to say. Idk if she thinks playing dumb will get her more sympathy or if she's genuinely this confused.,0,1762646400
top,Ugzpo7D13_3VUZhXUEt4AaABAg,,@edsonmakumbirofa2289,snow bunny mind control in full effect,0,1762646400
top,UgxqePWfPkPN1aStS0Z4AaABAg,,@sadgirlmuseum,she didn't even deney it,2,1762646400
top,UgxIwfwbTHBKtpdepxV4AaABAg,,@sadgirlmuseum,lmao american eagle used her as a gun and she didn't know it,0,1762646400
top,UgxCEYSqsSf-7jxYgUR4AaABAg,,@TGo-n-Roscoe,She’s either stupid and racist. Or just plain stupid.,0,1762646400
top,UgyyiSZvn9n8Xg854gN4AaABAg,,@nastyladd,“WE are mad you won’t apologize for a Jeans commercial WE decided was a dog whistle.” Bruh it was just an advertisement for pants,1,1762646400
top,UgxNuh7xNwPFngr1MsB4AaABAg,,@heythere8318,who taught hasan the word snow bunny and to use it so incorrectly 😭,1,1762646400
top,UgzR9RbqFnhS2r64Qdh4AaABAg,,@mischieflared413,I don't get the attraction to her.,2,1762646400
