dataset,conversation_id,n_utterances_historical,n_utterances_rebuilt,n_utterances_difference,expert_n_utterances_historical,expert_n_utterances_rebuilt,expert_n_utterances_difference,partner_n_utterances_historical,partner_n_utterances_rebuilt,partner_n_utterances_difference,speaker_centroid_cosine_distance_historical,speaker_centroid_cosine_distance_rebuilt,speaker_centroid_cosine_distance_difference,radial_distance_median_historical,radial_distance_median_rebuilt,radial_distance_median_difference,radial_distance_q90_historical,radial_distance_q90_rebuilt,radial_distance_q90_difference,participation_ratio_historical,participation_ratio_rebuilt,participation_ratio_difference
wired,wired_dimension_15,92,92,0,53,53,0,15,15,0,0.1305670142173767,0.1305670142173767,0.0,0.5538493871784987,0.55384929507609,-9.210240869972353e-08,0.7057565910232257,0.7057566356303553,4.46071295456818e-08,24.549618103426617,24.549620608989812,2.505563195143168e-06
wired,wired_fractal_15,52,54,2,32,34,2,15,15,0,0.2086057066917419,0.2050283551216125,-0.0035773515701293945,0.5740678609395313,0.5695088807442119,-0.0045589801953194176,0.7381674992587143,0.7466752737978627,0.008507774539148416,20.352006114891346,20.38013585897696,0.028129744085614306
wired,wired_gravity_15,91,86,-5,46,44,-2,28,26,-2,0.1062366366386413,0.1130607724189758,0.0068241357803345,0.4852875447027694,0.485886824563819,0.0005992798610495731,0.7410477059899844,0.7363871335578536,-0.004660572432130805,29.51489296905898,28.518795928531052,-0.9960970405279284
wired,wired_hacking_15,67,66,-1,32,32,0,30,30,0,0.2480778098106384,0.2480778098106384,0.0,0.6062410486805768,0.6110005595169041,0.0047595108363273075,0.763656375629509,0.7651596214047998,0.001503245775290707,32.589521184280265,32.6280698996078,0.03854871532753634
wired,wired_infinity_15,68,68,0,43,43,0,18,18,0,0.2171588540077209,0.2204226851463318,0.0032638311386108954,0.5287158359263824,0.5278014382295002,-0.0009143976968821743,0.7142608066765186,0.7142383706188286,-2.2436057690033984e-05,26.50826207967475,26.434129515259745,-0.07413256441500593
wired,wired_internet_15,37,37,0,14,14,0,18,18,0,0.2303799390792846,0.2303799390792846,0.0,0.5741491302248332,0.574149035672515,-9.455231819721632e-08,0.7844521670007737,0.7844521590526583,-7.948115388067833e-09,21.119109690342807,21.119109254553617,-4.357891896233923e-07
wired,wired_laser_15,53,53,0,28,28,0,14,14,0,0.2122483253479004,0.2122482657432556,-5.96046448031462e-08,0.6021532804498816,0.6021532835648693,3.1149877122160774e-09,0.7648470032886621,0.764847071358088,6.80694259846959e-08,23.772834723047687,23.7728345065287,-2.1651898762797828e-07
wired,wired_machine_15,28,28,0,10,10,0,17,17,0,0.235820472240448,0.2358206510543823,1.788139342984163e-07,0.5128136058400989,0.5128135630233834,-4.2816715506432956e-08,0.6225487522702662,0.6225487410352925,-1.1234973729123965e-08,18.65332733271591,18.653326979973087,-3.5274282339514684e-07
wired,wired_memory_15,43,43,0,25,25,0,14,14,0,0.2408524751663208,0.240852415561676,-5.96046448031462e-08,0.4933104622923279,0.4933103193591446,-1.4293318328917337e-07,0.679481161219463,0.6794810799706132,-8.124884975924118e-08,23.888650810207068,23.88864805969101,-2.7505160566931863e-06
wired,wired_moravec_15,37,37,0,15,15,0,17,17,0,0.2043339610099792,0.2043339610099792,0.0,0.4662943478274383,0.4662942592413962,-8.858604205741472e-08,0.7309916395724924,0.7309916675923877,2.801989529288562e-08,19.178603070431148,19.17860193612661,-1.1343045365208582e-06
wired,wired_nano_15,34,34,0,18,18,0,16,16,0,0.1828880310058593,0.1828880310058593,0.0,0.3942784264184205,0.3942783940677998,-3.235062068229766e-08,0.7238636766186675,0.723863733737359,5.7118691554336465e-08,16.581337254585,16.581338168115902,9.13530900703563e-07
wired,wired_neuro_15,16,16,0,6,6,0,9,9,0,0.3591267466545105,0.3591267466545105,0.0,0.4536413827381287,0.453641282320364,-1.0041776471458874e-07,0.6475959145037065,0.6475957786806039,-1.3582310254278696e-07,10.295341488735929,10.295340931215774,-5.575201544871788e-07
wired,wired_nuclear_15,97,97,0,56,56,0,16,16,0,0.2531865239143371,0.2531864047050476,-1.192092894952701e-07,0.57593570019593,0.5759355788475364,-1.2134839355582017e-07,0.725984370155539,0.7259843029742384,-6.718130052263405e-08,33.59835467379431,33.598355146989086,4.731947740310716e-07
wired,wired_sensing_15,61,61,0,35,35,0,15,15,0,0.1725470423698425,0.1725470423698425,0.0,0.5334505880555288,0.5334507720760935,1.8402056467525796e-07,0.6812660003314055,0.6812660237166743,2.3385268832498696e-08,23.80612205148307,23.80612089834344,-1.1531396282293827e-06
wired,wired_sleep_15,45,45,0,28,28,0,10,10,0,0.1613252162933349,0.1613253355026245,1.192092896062924e-07,0.5148557900777824,0.5148558624121516,7.233436927212011e-08,0.7445374017055395,0.7445374497949232,4.808938369738058e-08,19.220609883767455,19.22060989601867,1.2251213377112435e-08
wired,wired_time_15,103,103,0,53,53,0,24,24,0,0.121898353099823,0.1218984127044677,5.9604644706001686e-08,0.5466667242940257,0.546666732030854,7.736828289139908e-09,0.7104722288150626,0.7104722012397297,-2.7575332905982464e-08,31.792825520996207,31.792827909948848,2.388952641041442e-06
wired,wired_zero_15,70,70,0,24,24,0,26,26,0,0.120491087436676,0.120491087436676,0.0,0.5633710791473591,0.5633710299265002,-4.922085883318772e-08,0.6967368427932795,0.6967367961214278,-4.66718517166953e-08,19.8198557473172,19.819855307678612,-4.3963858686879576e-07
wired,wired_Talia_16,44,44,0,16,16,0,27,27,0,0.1013081073760986,0.101307988166809,-1.192092896062924e-07,0.4702720760971075,0.4702720191672342,-5.6929873315514357e-08,0.6817283479832649,0.6817283307286899,-1.7254574991021343e-08,21.715176476610445,21.715176363018504,-1.1359194118654159e-07
wired,wired_astro_16,42,42,0,21,21,0,18,18,0,0.1024336814880371,0.1024337410926818,5.9604644706001686e-08,0.4164392782996759,0.4164392840268067,5.727130769628275e-09,0.7234825462700448,0.723482540461599,-5.808445835420173e-09,19.776655941662717,19.776657828327014,1.886664296790741e-06
wired,wired_blockchain_16,68,68,0,21,21,0,43,43,0,0.1919436454772949,0.1919437050819397,5.96046448031462e-08,0.5599597445638056,0.5599596458390982,-9.872470740912576e-08,0.6770470992504959,0.6770470685894157,-3.066108023030978e-08,32.25759230930518,32.257592904676294,5.953711124107031e-07
