dataset,conversation_id,video_id,level,level_label,n_utterances,speaker_centroid_cosine_distance,radial_distance_median,radial_distance_q90,participation_ratio,video_group,expertise_c,log_n_c
wired,wired_sensing_13,sensing,1,teenager,90,0.1527316570281982,0.5819668733672982,0.7344351122857604,15.495718312873835,wired::sensing,-1.0,0.4983016776880058
wired,wired_sensing_14,sensing,2,undergraduate,63,0.1619810461997985,0.5429646955843752,0.718842191552608,19.52567084271609,wired::sensing,0.0,0.14162673374927337
wired,wired_sensing_15,sensing,3,graduate,61,0.1725470423698425,0.5334505880555288,0.6812660003314055,23.80612205148307,wired::sensing,1.0,0.10936587153105215
wired,wired_sensing_16,sensing,4,expert,56,0.2325416207313537,0.5697728262216022,0.6773707932686608,21.181875418628817,wired::sensing,2.0,0.023843698092890442
wired,wired_sleep_12,sleep,0,child,93,0.2720444202423095,0.5890910474779605,0.701108610295583,29.224935661310123,wired::sleep,-2.0,0.5310915005109971
wired,wired_sleep_13,sleep,1,teenager,80,0.1602043509483337,0.5324565737573739,0.7342306871178326,22.00982242123043,wired::sleep,-1.0,0.380518642031622
wired,wired_sleep_14,sleep,2,undergraduate,49,0.2689617872238159,0.5382164849452489,0.714004387077958,19.950028834653732,wired::sleep,0.0,-0.10968769453163274
wired,wired_sleep_15,sleep,3,graduate,45,0.1613252162933349,0.5148557900777824,0.7445374017055395,19.220609883767455,wired::sleep,1.0,-0.19484550287193958
wired,wired_sleep_16,sleep,4,expert,31,0.1515728235244751,0.3076312180813398,0.7880193469176593,13.797186958485335,wired::sleep,2.0,-0.5675207881571129
wired,wired_Talia_12,talia,0,child,27,0.4667110443115234,0.5584412740442606,0.6628236426199032,16.18181202151208,wired::talia,-2.0,-0.7056711266379301
wired,wired_Talia_13,talia,1,teenager,60,0.4639720320701599,0.5597553647573694,0.7317565266805249,23.029034538553255,wired::talia,-1.0,0.09283656957984121
wired,wired_Talia_14,talia,2,undergraduate,44,0.2397228479385376,0.5037095477584732,0.79700366008973,18.618394878746223,wired::talia,0.0,-0.21731835872399818
wired,wired_Talia_15,talia,3,graduate,43,0.2335363626480102,0.5438459294908512,0.7579226643991109,17.342065188127915,wired::talia,1.0,-0.24030787694869682
wired,wired_Talia_16,talia,4,expert,44,0.1013081073760986,0.4702720760971075,0.6817283479832649,21.715176476610445,wired::talia,2.0,-0.21731835872399818
wired,wired_time_12,time,0,child,80,0.2504389882087707,0.5573424586071374,0.6878869225850658,30.794844665673487,wired::time,-2.0,0.380518642031622
wired,wired_time_13,time,1,teenager,71,0.3716517686843872,0.5839787785802936,0.7014203088716202,24.86541256391576,wired::time,-1.0,0.26117188439905625
wired,wired_time_14,time,2,undergraduate,61,0.2127253413200378,0.5653451596579872,0.7046925840881798,28.907910162792724,wired::time,0.0,0.10936587153105215
wired,wired_time_15,time,3,graduate,103,0.121898353099823,0.5466667242940257,0.7104722288150626,31.792825520996207,wired::time,1.0,0.6332209955873767
wired,wired_time_16,time,4,expert,63,0.1077458262443542,0.5141039943355794,0.738315639026353,31.91149517459753,wired::time,2.0,0.14162673374927337
wired,wired_zero_12,zero,0,child,57,0.3584381341934204,0.5682881977045834,0.6891537866754778,20.23956212966424,wired::zero,-2.0,0.04154327519229106
wired,wired_zero_13,zero,1,teenager,53,0.2679784297943115,0.5230815847886104,0.6641710666283981,19.746084955776418,wired::zero,-1.0,-0.03121607909013724
wired,wired_zero_14,zero,2,undergraduate,115,0.3503763675689697,0.5951739333707522,0.7157047751097917,26.36472821244675,wired::zero,0.0,0.743424135720991
wired,wired_zero_15,zero,3,graduate,70,0.120491087436676,0.5633710791473591,0.6967368427932795,19.8198557473172,wired::zero,1.0,0.24698724940710015
wired,wired_zero_16,zero,4,expert,107,0.204928457736969,0.5623034178795149,0.6946668986883432,24.321803366949062,wired::zero,2.0,0.6713208418196466
