video_uid,conversation_uid,conversation_id,level_label,stage,trajectory_type,n_turns,lag,lag_distance_observed,lag_distance_null_mean,lag_distance_null_sd,lag_distance_z
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,Middle,joint,12,3,1.0240387512871516,1.0166716155053561,0.02571662845669138,0.2864736251955525
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Beginning,joint,17,1,0.9827462390837769,1.0081544069280821,0.0165800809713105,-1.532451372720705
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Beginning,joint,17,2,0.9595697158307478,0.9915710629096774,0.02412375057747255,-1.3265494093117276
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Beginning,joint,17,3,1.0346189456679116,1.0076100534633137,0.019453907854979646,1.3883530448451464
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Beginning,expert,9,1,0.9480215767517437,0.9996099155786504,0.025934251866060198,-1.9891971086476443
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Beginning,expert,9,2,0.9506964500674284,0.9982421844095757,0.028825549873258412,-1.6494302641649048
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Beginning,expert,9,3,0.9690848137407746,0.9982435322035249,0.03285456697357952,-0.8875088351095518
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Beginning,partner,8,1,0.9876176018693944,0.9986747616599712,0.04317634254669884,-0.25609301618397873
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Beginning,partner,8,2,1.0432631569733555,0.9962134481989229,0.044582374694661114,1.055343262817872
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Beginning,partner,8,3,0.9036247343174708,1.0029430626357851,0.048415138420066624,-2.0513899486684077
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,End,joint,17,1,0.932977733326716,0.9880257063285391,0.023376653068890346,-2.3548269651604246
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,End,joint,17,2,1.0218646404725624,1.0126915541256758,0.018164284432105018,0.5050067554917482
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,End,joint,17,3,1.001272625796083,0.9887800715619385,0.02709156175936647,0.4611234429785251
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,End,expert,8,1,1.0006607463021195,1.0001980867324116,0.02621226923715624,0.017650496625149028
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,End,expert,8,2,1.0210984114393793,1.0004458737930428,0.0290356975453977,0.711280919428436
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,End,expert,8,3,0.9944479103810931,0.9990078925769332,0.0317218577715121,-0.14374890111055186
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,End,partner,9,1,1.0170873633839363,0.9992751211638902,0.024190982825383366,0.7363174265642473
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,End,partner,9,2,0.9751116225577467,1.0002520721184975,0.02673016691908868,-0.9405272191846047
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,End,partner,9,3,1.0182038396084023,0.9992397993133115,0.029504660612258708,0.6427472779406095
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Middle,joint,16,1,0.9490825718960282,0.9980041482693726,0.02133021437949271,-2.2935342094066598
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Middle,joint,16,2,0.9731297577598481,1.001437213373168,0.025259937725789203,-1.1206462945638715
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Middle,joint,16,3,0.9994365413146633,0.9977341040121198,0.024562123076622124,0.0693114881491595
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Middle,expert,8,1,0.9354860078673003,1.0039590368812457,0.04041270828144484,-1.6943439805390175
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Middle,expert,8,2,1.0226984070725762,0.9979721885674061,0.04933429363126925,0.5011973758046883
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Middle,expert,8,3,0.9999808159619501,0.9993105169321608,0.05179125134189412,0.012942321577913213
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Middle,partner,8,1,1.0064068798469492,1.0005160569257863,0.025448208418186843,0.23148281499270495
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Middle,partner,8,2,0.9887666642533073,0.9994841980333828,0.02941430218828161,-0.364364713174985
dimension,dimension::wired_dimension_16,wired_dimension_16,expert,Middle,partner,8,3,1.0171399303762194,0.9995642218911288,0.031393311346092,0.5598551962655101
fractal,fractal::wired_fractal_12,wired_fractal_12,child,Beginning,joint,10,1,1.0551052672135044,1.102932588754331,0.02435609999280483,-1.9636691241600923
fractal,fractal::wired_fractal_12,wired_fractal_12,child,Beginning,joint,10,2,0.7026930529696234,0.8711651295174326,0.0806443531172471,-2.0890746845333523
fractal,fractal::wired_fractal_12,wired_fractal_12,child,Beginning,joint,10,3,1.104265597155731,1.102217766764938,0.032105282667876184,0.06378484226341788
fractal,fractal::wired_fractal_12,wired_fractal_12,child,End,joint,10,1,0.9355048044874552,0.9822709673314057,0.05060324219187012,-0.9241732509278613
fractal,fractal::wired_fractal_12,wired_fractal_12,child,End,joint,10,2,1.022393252474459,1.0247600624242186,0.03864290264538549,-0.061248244508935845
fractal,fractal::wired_fractal_12,wired_fractal_12,child,End,joint,10,3,1.0564158709548797,0.9776060008569266,0.059758002210309136,1.3188170150098688
fractal,fractal::wired_fractal_12,wired_fractal_12,child,Middle,joint,10,1,1.0483722256738233,1.074713333937617,0.015342433709080302,-1.7168793923615828
fractal,fractal::wired_fractal_12,wired_fractal_12,child,Middle,joint,10,2,0.8172769643071266,0.9083671627716112,0.06599617940484925,-1.380234420930608
fractal,fractal::wired_fractal_12,wired_fractal_12,child,Middle,joint,10,3,1.0877622150630923,1.074913720996467,0.01723501762071122,0.7454877244329242
fractal,fractal::wired_fractal_15,wired_fractal_15,graduate,Beginning,joint,9,1,0.8862398460892534,0.9872679192739724,0.04651765422521534,-2.1718221795018144
fractal,fractal::wired_fractal_15,wired_fractal_15,graduate,Beginning,joint,9,2,0.9722989331566227,1.0192774864088125,0.03519249037328767,-1.334902780504791
fractal,fractal::wired_fractal_15,wired_fractal_15,graduate,Beginning,joint,9,3,1.0665558439011615,0.995020551267854,0.05520299788740353,1.2958588368555024
fractal,fractal::wired_fractal_15,wired_fractal_15,graduate,End,joint,9,1,0.9332673505686578,0.9936746819021145,0.05323195111643373,-1.1347946123809793
fractal,fractal::wired_fractal_15,wired_fractal_15,graduate,End,joint,9,2,1.0147731905458068,1.0192405444780024,0.04244953084848425,-0.10523918269299475
fractal,fractal::wired_fractal_15,wired_fractal_15,graduate,End,joint,9,3,1.0455463934767588,0.9845134092730145,0.06607197352824484,0.9237348446638062
fractal,fractal::wired_fractal_15,wired_fractal_15,graduate,Middle,joint,9,1,0.9819421991871753,0.9997371577438829,0.02886141180216886,-0.6165657688086627
fractal,fractal::wired_fractal_15,wired_fractal_15,graduate,Middle,joint,9,2,0.9220147252236162,0.9959347872869586,0.052425004550602054,-1.4100153676094158
fractal,fractal::wired_fractal_15,wired_fractal_15,graduate,Middle,joint,9,3,1.049623903254537,1.0054213251745416,0.03579173739701323,1.234993920236013
fractal,fractal::wired_fractal_16,wired_fractal_16,expert,Beginning,joint,10,1,0.9844554807008571,1.0067543651630888,0.023140835006928723,-0.9636162418320292
fractal,fractal::wired_fractal_16,wired_fractal_16,expert,Beginning,joint,10,2,0.9490996518502741,0.9887971515150834,0.0338071838036446,-1.174232668872279
