dataset,conversation_id,expert_n_utterances,partner_n_utterances,speaker_centroid_cosine_distance,speaker_centroid_euclidean_distance
wired,wired_sensing_16,12,33,0.23254162073135376,0.3442024886608124
wired,wired_sleep_12,47,9,0.27204442024230957,0.3728709816932678
wired,wired_sleep_13,40,12,0.16020435094833374,0.30975160002708435
wired,wired_sleep_14,29,9,0.2689617872238159,0.39701542258262634
wired,wired_sleep_15,28,10,0.16132521629333496,0.3224208354949951
wired,wired_sleep_16,21,10,0.1515728235244751,0.3441413342952728
wired,wired_time_12,47,5,0.25043898820877075,0.3996313512325287
wired,wired_time_13,58,6,0.3716517686843872,0.4691840410232544
wired,wired_time_14,47,11,0.21272534132003784,0.3201310336589813
wired,wired_time_15,53,24,0.121898353099823,0.2310214787721634
wired,wired_time_16,23,34,0.10774582624435425,0.22831718623638153
wired,wired_zero_12,34,7,0.3584381341934204,0.4735527038574219
wired,wired_zero_13,27,7,0.2679784297943115,0.41873419284820557
wired,wired_zero_14,65,12,0.3503763675689697,0.39955589175224304
wired,wired_zero_15,24,26,0.12049108743667603,0.23511521518230438
wired,wired_zero_16,39,23,0.204928457736969,0.3228185474872589
