dataset,conversation_id,video_id,file_number,level,level_label,n_utterances,n_pairs,n_words,n_turns,embedding_dimension,k_used,pairwise_cosine_similarity_mean,pairwise_cosine_similarity_sd,pairwise_cosine_similarity_q10,pairwise_cosine_similarity_median,pairwise_cosine_similarity_q90,centroid_resultant_length,centroid_dispersion_cosine,radial_distance_mean_check,radial_distance_median,radial_distance_q90,pairwise_distance_mean,pairwise_distance_sd,pairwise_distance_q10,pairwise_distance_median,pairwise_distance_q90,pairwise_semantic_span,nearest_neighbor_distance_mean,nearest_neighbor_distance_median,knn_distance_median,maximum_available_rank,numerical_rank,total_variance,spectral_entropy,spectral_entropy_normalized,spectral_effective_rank,participation_ratio,pc1_variance_share,expert_n_utterances,partner_n_utterances,speaker_centroid_cosine_distance,speaker_centroid_euclidean_distance
wired,wired_zero_12,zero,12,0,child,57,1596,481,16,384,5,0.17098926798081998,0.15795594296051996,0.03278861712585632,0.13686609668723415,0.3275552211876265,0.4307357843399838,0.5692642156600163,0.5692642156600161,0.5682881977045834,0.6891537866754778,0.8290107320191801,0.15795594296051996,0.6724447788123735,0.8631339033127658,0.9672113828741437,0.29476660406177013,0.34008914365859344,0.35464171016839086,0.6430091395228523,56,50,0.82901073201918,3.382170178222163,0.8402173121932801,29.4345801345585,20.23956212966424,0.12481442469212826,34,7,0.3584381341934204,0.4735527038574219
wired,wired_Talia_13,talia,13,1,teenager,60,1770,813,40,384,5,0.167689687444232,0.15203261002173304,0.012780497096435329,0.13386268006047858,0.3858023868105139,0.42610037078935764,0.5738996292106424,0.5738996292106422,0.5597553647573694,0.7317565266805249,0.8323103125557679,0.15203261002173304,0.6141976131894863,0.8661373199395215,0.9872195029035647,0.37302188971407846,0.4304630643368644,0.40886962376831115,0.6211146871781726,59,58,0.8323103125557683,3.5629010246765067,0.8737874449201226,35.265354556669436,23.029034538553258,0.12293677513856742,37,8,0.4639720320701599,0.46902480721473694
wired,wired_astro_13,astro,13,1,teenager,53,1378,796,13,384,5,0.19981215751191697,0.1744299038719944,0.014654496791303826,0.15171932050498488,0.4735015654560304,0.4635839096996862,0.5364160903003138,0.5364160903003137,0.5291874141845523,0.74267239029829,0.800187842488083,0.1744299038719944,0.5264984345439696,0.8482806794950151,0.9853455032086962,0.4588470686647266,0.39398480394181334,0.36663187184614143,0.5109297287925476,52,52,0.8001878424880833,3.396115472820496,0.8595054404894484,29.84792946632347,18.396211113766093,0.16171168449108295,44,6,0.2984951138496399,0.439706951379776
wired,wired_blockchain_13,blockchain,13,1,teenager,32,496,373,19,384,5,0.18517956671684307,0.1421519618157371,0.041692538112954466,0.15333968536716572,0.36271210312737134,0.45895828269783057,0.5410417173021694,0.5410417173021694,0.5342706081139859,0.6287725526350173,0.8148204332831569,0.14215196181573714,0.6372878968726287,0.8466603146328343,0.9583074618870455,0.32101956501441686,0.46625144091951326,0.49927836907177814,0.6827381320818591,31,29,0.8148204332831573,3.0911184033614023,0.9001543160452312,22.001670963521942,17.128447259725146,0.13844083407932908,17,7,0.3298254609107971,0.43414315581321716
wired,wired_crispr_13,crispr,13,1,teenager,24,276,333,11,384,5,0.2229320872371845,0.17820362500161163,0.04447620188251884,0.16593885461546892,0.5109092076604835,0.5052820172296211,0.49471798277037893,0.4947179827703789,0.5015363324411874,0.6981284128541287,0.7770679127628155,0.17820362500161163,0.4890907923395164,0.834061145384531,0.9555237981174811,0.4664330057779647,0.4196248639161982,0.3663199349364422,0.6918691492772082,23,23,0.7770679127628156,2.8070326530916048,0.8952440858704594,16.560703883426044,13.231193890823352,0.14799349471244067,15,4,0.43112021684646606,0.577309250831604
wired,wired_dimension_13,dimension,13,1,teenager,96,4560,845,42,384,5,0.20286136802716356,0.17840362147223163,0.0515472653801248,0.1519843838931115,0.44516698329144344,0.45952681689271113,0.5404731831072889,0.5404731831072889,0.5612036792001523,0.6670647832134131,0.7971386319728365,0.17840362147223165,0.5548330167085566,0.8480156161068885,0.9484527346198753,0.3936197179113188,0.3012433566765667,0.2992438111794382,0.5442206154049152,95,81,0.7971386319728366,3.635259269123656,0.7982778971976072,37.91168095132816,19.13188015172639,0.17818197292402715,44,8,0.20290839672088623,0.34828150272369385
wired,wired_fractal_13,fractal,13,1,teenager,40,780,555,13,384,5,0.21936247218202537,0.16334383388245757,0.058827614229840786,0.17849576494431002,0.43530331467447997,0.488751890408083,0.511248109591917,0.511248109591917,0.47619245026278656,0.6441074828345877,0.7806375278179746,0.16334383388245757,0.56469668532552,0.82150423505569,0.9411723857701593,0.3764757004446393,0.3708862029050839,0.3429684003164909,0.5932470501001075,39,37,0.7806375278179748,3.1472005632411437,0.8590548944538684,23.270828099254224,16.218751325459337,0.14194352035252414,29,6,0.256989061832428,0.4044106602668762
wired,wired_gravity_13,gravity,13,1,teenager,117,6786,1459,37,384,5,0.187253740422808,0.12772938646647333,0.04928830691395204,0.1661169972429658,0.3545976906524114,0.4406816193693169,0.5593183806306832,0.5593183806306831,0.5584420242747746,0.7087593765370709,0.812746259577192,0.12772938646647333,0.6454023093475886,0.8338830027570342,0.950711693086048,0.3053093837384594,0.4019046500231807,0.40475270278481845,0.5681558828663338,116,115,0.8127462595771918,4.084117950939309,0.8591649230891649,59.38953016231481,37.98082348174295,0.07591679107269463,86,13,0.2590842843055725,0.3811866343021393
wired,wired_hacking_13,hacking,13,1,teenager,37,666,530,18,384,5,0.23179721865558214,0.16042045813467426,0.060954997985756945,0.19838813980490838,0.4470992719524305,0.5025529384942596,0.49744706150574036,0.4974470615057404,0.43530818937124405,0.6656000959222798,0.7682027813444179,0.16042045813467426,0.5529007280475695,0.8016118601950917,0.9390450020142431,0.3861442739666736,0.41594433535137343,0.39987207280741377,0.5912330060056863,36,35,0.7682027813444176,3.185346620114735,0.8888878989675664,24.175666726088444,18.037927589704342,0.12791171401679763,21,9,0.23647058010101318,0.4059373736381531
wired,wired_infinity_13,infinity,13,1,teenager,53,1378,649,16,384,5,0.23043427858655674,0.19039502745614853,0.039252899385176634,0.17466606455184683,0.5259452693758139,0.4949286681308264,0.5050713318691735,0.5050713318691735,0.4773617814171537,0.6982194702822767,0.7695657214134433,0.19039502745614853,0.47405473062418607,0.8253339354481533,0.9607471006148233,0.4866923699906372,0.35048227435271817,0.3069932518312821,0.4615078084600954,52,52,0.7695657214134435,3.309102727134343,0.837483831122008,27.3605645624613,16.35926408604924,0.17638501190761272,35,9,0.23171037435531616,0.366432785987854
